,Code,Prefix,Airline
157,0B,475,Blue Air
189,3F,611,Gulf Pearl
149,3O,452,Air Arabia Maroc
273,3U,876,Sichan Airlines
243,3V,756,ASL Airlines Belgium
145,3X,435,Premiere Trans Aire
9,3Y,022,Madina Air
264,4O,837,Interjet Cargo
231,4Q,741,Safi Airways
199,4S,644,Solar Cargo
180,4W,574,Allied Air
257,4X,805,Mercury Air
216,5C,700,C.A.L. Cargo Airlines Ltd.
110,5L,275,AeroSur
175,5O,558,Europe Airpost
116,5S,301,Global Aviation
136,5X,406,UPS
127,5Y,369,Atlas Air
272,6R,873,Aero Union
227,6U,730,Air Cargo Germany
286,6W,920,Libo Air
124,7A,336,Express Aircargo
181,7C,575,Coyne Airways
164,7G,513,MK Airlines Limited.
92,7J,221,TAMDV
161,7L,501,Silkway West Airlines
297,8A,961,Panama Airways
121,8D,319,Expo Air
154,8F,470,STP Airways
22,8Q,066,Onur Air
170,8U,546,AFRIQIYAH AIRWAYS
158,8V,485,Astral Aviation
174,9T,556,TTA Socieda de Transporte e Trablho Aereo
179,9U,572,Air Moldova
206,9Y,671,Fly Georgia
137,A1,413,Alas Cargo
166,A2,529,CIELOS DEL PERU
131,A3,390,Aegean Airlines
126,A7,352,Air plus Comet
186,A9,606,Georgian Airways
0,AA,001,American Airlines
5,AC,014,Air Canada
183,AD,577,Azul Airline
18,AF,057,Air France
50,AH,124,Air Algerie
40,AI,098,Air India
77,AJ,179,Aztec Airways c/o Heavyweight Air Express
62,AM,139,Aeromexico
13,AR,044,Aerolineas Argentinas
66,AT,147,Royal Air Maroc
42,AY,105,Finnair
17,AZ,055,Alitalia
195,B2,628,Belavia
197,B8,637,Eritrean Airlines
51,BA,125,British Airways
98,BD,236,British Midlands Airlines
108,BE,267,Jersey European Airways Flybe
308,BG,997,Biman Bangladesh Airlines
207,BI,672,Royal Brunei Airlines
214,BR,695,EVA Airways Corporation
202,BT,657,Air Baltic Corporation
278,BU,883,Fly CAA
43,BW,106,BWIA West Indies Airways
309,CA,999,Air China Cargo
120,CC,318,Sundt Atlanta Skybridge
114,CI,297,China Airlines
45,CK,112,China Cargo Airlines
95,CM,230,COPA Airlines
261,CQ,830,Catran
61,CU,136,Cubana de Aviacion
74,CV,172,Cargolux Airlines International
69,CW,159,My Cargo Airlines
70,CX,160,Cathay Pacific Airways
252,CZ,784,China Southern Airlines
284,D3,911,Daallo Airlines
241,D4,751,Aerolog
266,D7,843,Air Asia
276,DK,881,Thomas Cook Airlines Scandinavia
1,DL,006,Delta Air Lines
148,DN,440,Senegal Airlines
49,DT,118,TAAG Linhas Aereas de Angola
81,DW,187,Aero Charter
123,DY,328,Norwegian Cargo
139,E6,417,Bringer Airlines
151,EB,460,Vamos
16,EI,053,Aer Lingus
76,EK,176,Emirates
203,EO,663,Demavia Airlines SA
25,ET,071,Ethiopian Airlines
41,EW,104,Eurowings
187,EY,607,Etihad Airways
93,F5,227,Aerotrans Cargo Moldova
193,FB,623,BULGARIA AIR
104,FG,255,ARIANA AFGHAN AIR AC
44,FI,108,Icelandair
245,FK,758,Kelowna Flightcraft Air Charter Ltd.
249,FM,774,Shanghai Airlines (via EVA)
233,FQ,745,Thomas Cook
84,FV,195,Pulkovo Aviation Enterprise
10,FX,023,Fedex
63,FZ,141,Fly Dubai
56,GA,126,Garuda Indonesia
263,GB,832,ABX Air Inc
256,GD,800,Grandstat
26,GF,072,Gulf Air
117,GG,307,Centurion Air Cargo
209,GO,678,Ghana AATA
167,GV,536,Sky Gabon
4,GY,013,Gabon Airlines
19,HM,061,Air Seychelles
274,HU,880,Hainan Airlines
301,HV,979,Transavia Airlines
267,HX,851,Hong Kong Airlines
102,HY,250,Uzbekistan Havo Yullary Uzbekistan Airways
221,I3,714,PanAir Cargo
244,I4,757,I-Fly
28,IB,075,Iberia Lineas Aereas de Espana
247,IC,765,IMPERIAL AIR
82,IG,191,Meridiana FLY S.p.A.
303,IJ,989,Great Wall Airlines
39,IR,096,Iran Air
155,IU,471,Silkway Italy
196,IY,635,Yemenia Yemen Airways
99,IZ,238,Arkia Israeli Airlines
248,J2,771,Azerbaijan Hava Yollary
306,JA,995,Air Bosna
294,JJ,957,TAM Linhas Aereas
59,JL,131,Japan Airlines
87,JM,201,Air Jamaica
71,JP,165,Adria Airways The Airline of Slovenia
47,JU,115,Air Serbia
134,JW,404,Arrow Air
213,JX,693,Jett8
109,K4,272,Kalitta Air
220,K5,710,Aban Air
12,KA,043,Hong Kong Dragon Airlines
153,KC,465,Air Astana
78,KE,180,Korean Air Lines
64,KF,142,Air Belgium
188,KK,610,Atlas Global
27,KL,074,K.L.M. Royal Dutch Airlines
198,KM,643,Air Malta
285,KN,917,Trans Africaine
219,KQ,706,Kenya Airways
94,KU,229,Kuwait Airways
291,KZ,933,Nippon Cargo Airlines
14,LA,045,Latam Airlines
159,LE,486,Lion Air Cargo Tanzania
7,LH,020,Deutsche Lufthansa
115,LM,300,Fly Air
67,LN,148,Libyan Airlines
32,LO,080,LOT Polish Airlines
293,LS,949,Jet2
144,LT,431,Lituanica Airlines
223,LX,724,Swiss World Cargo
46,LY,114,El Al Israel Airlines
258,M6,810,Amerijet International
222,MB,716,MNG Airlines Cargo
105,MD,258,Air Madagaskar
29,ME,076,Middel East Airlines Airliban
228,MF,731,Xiamen Airlines
141,MG,424,Miami Air Lease
96,MH,232,Malaysian Airline System
100,MK,239,Air Mauritius
57,MP,129,Martinair
269,MR,861,Hunnu Air
30,MS,077,Egyptair
251,MU,781,China Eastern Airlines
60,MX,132,Compania Mexicana de Aviacion
130,MY,386,Maxjet
208,N2,673,Trans-Mediterranean Airways
138,N8,416,National Airlines
89,NH,205,All Nipon Airways
211,NI,685,Portugalia
260,NN,823,VIM Airlines
165,NO,519,Niger Air Cargo
205,NU,670,Transaero Airlines
3,NW,012,North West Airlines
38,NZ,086,Air New Zealand
103,OJ,254,Jetclub
20,OK,064,CSA Czech Airlines
112,OM,289,MIAT Mongolian Airlines
190,OR,612,TUI (Total Cargo Expertise)
262,OU,831,Croatia Airlines
296,OV,960,Estonian Air
302,OZ,988,Asiana Airlines
176,P3,560,CargoLogicAir
36,PA,084,Airblue
194,PC,624,PEGASUS AIRLINES
90,PK,214,Pakistan International Airlines
31,PR,079,Philipinne Airlines
178,PS,566,Ukraine International Airlines
270,PT,869,West Air co Martinair
83,PY,192,Surinam Airways
11,QC,040,Camair
33,QF,081,Quantas Airways
200,QI,647,Cimber Sterling
72,QM,167,Air Malawi Limited
281,QN,907,Air Armenia
122,QP,321,Starlight Airlines
68,QR,157,Qatar Airways
255,QS,797,Travel Service a.s.
226,QT,729,Avianca
191,QY,615,DHL Aviation
24,RB,070,Syrian Arab Airlines
163,RJ,512,Alia (Royal Jordanian Airline)
111,RO,281,TAROM Romanian Air Transport
184,RU,580,Air Bridge Cargo
259,S6,817,South American Airways
140,S7,421,Siberia Airlines
35,SA,083,South African Airways
86,SD,200,Sudan Airways
156,SE,473,XL Airways France
48,SK,117,Scandinavian Airlines System
34,SN,082,Brussels Airlines Cargo
298,SO,970,Sovereign
192,SQ,618,Singapore Cargo Airlines
37,SR,085,Swissair
287,SS,923,Corsair
173,SU,555,Aeroflot Russian Airlines
21,SV,065,Saudi Arabian Airlines
80,SW,186,Air Namibia
129,T7,382,Transarca International Airways
91,TG,217,Thai Airways International
169,TH,539,Transmile
97,TK,235,Turkish Airlines
23,TM,068,LAM Linhas Aereas de Mocambique
15,TP,047,TAP Air Portugal
201,TS,649,Air Transat
85,TU,199,Tunisair
142,TX,427,Air Caraibes
225,U3,728,Sky Gates Airline
107,U6,262,Ural Airlines
6,UA,016,United Airlines
65,UC,145,LAN Chile Cargo
58,UK,130,KLM UK Ltd
185,UL,603,SriLankan Airlines
73,UM,168,Air Zimbabwe
246,UU,760,Air Austral
204,UW,669,UNI-TOP Airlines
307,UX,996,Air Europa
288,UZ,928,Buraq Airlines
254,V1,787,Sky Projects
172,V2,552,Silk Road Express
8,V3,021,Carpatair
292,V4,946,Vensecar Internacional
217,VB,702,Maersk Air Ltd.
253,VK,786,Virgin Nigeria
143,VL,429,Med-View
230,VN,738,Vietnam Airlines Corporation
118,VO,308,Convesia
280,VQ,904,Viking Hellas
215,VR,696,Transportes Aereos de Cabo Verde
290,VS,932,Virgin Atlantic Airways
168,W5,537,Mahan Airlines
160,W8,489,Cargojet Airways
150,WB,459,Rwandair Ltd
113,WG,292,Sunwing Cargo
265,WS,838,WestJet
128,WW,377,WOW Air
283,WY,910,Oman Air
232,X7,744,ACE Belgium
132,XC,395,Corendon
177,XQ,564,Sun Do'r Int. Airlines
271,Y8,871,Suparno
106,YD,259,MAGMA CO SYNERGY AVIATION LIMITED
79,YE,185,Aryan cargo Express
125,YQ,342,Polet Airlines
171,YU,551,Euroatlantic Airways
88,Z5,204,Global Africa Aviation
299,ZB,974,Monarch Airlines
147,ZI,439,Aigle Azur
152,ZP,463,Silkway
